0.344385 0.614079 0.294807 0.091802 0.004838 0.841899 0.468868 0.900185 0.814205 0.852727 0.949814
0.447580 0.633210 0.031218 0.978898 0.748829 0.819310 0.445861 0.541741 0.246498 0.750128 0.465024
0.448380 0.270947 0.651209 0.067724 0.877475 0.616904 0.134421 0.648474 0.533146 0.967479 0.150748
0.337022 0.036844 0.447897 0.180188 0.113474 0.078205 0.453375 0.647475 0.712186 0.020996 0.892336
0.606948 0.761879 0.473357 0.988528 0.674079 0.160753 0.111075 0.677646 0.709322 0.587042 0.760356
0.304412 0.316057 0.656826 0.089504 0.269638 0.790035 0.304435 0.356247 0.223634 0.012387 0.461361
0.062816 0.483029 0.791315 0.977902 0.719840 0.078531 0.787914 0.381042 0.256617 0.753988 0.682766
0.908695 0.384328 0.039961 0.084885 0.416811 0.740922 0.158605 0.547252 0.954231 0.347887 0.857193
0.408211 0.261655 0.849679 0.264828 0.063981 0.329735 0.818203 0.868742 0.789619 0.883645 0.660647
0.541851 0.105840 0.748859 0.173419 0.681502 0.649654 0.867739 0.351649 0.254523 0.637491 0.148945
0.259275 0.910880 0.049552 0.152484 0.233819 0.318668 0.133178 0.483459 0.845714 0.049450 0.484798
0.480114 0.626082 0.264781 0.317207 0.011421 0.356532 0.830991 0.743302 0.071597 0.850680 0.970465
0.402677 0.013847 0.422097 0.233189 0.826208 0.760046 0.896041 0.927786 0.975855 0.036423 0.201010
0.210802 0.344384 0.305072 0.985743 0.094885 0.975339 0.168025 0.524231 0.519870 0.646106 0.637324
0.446859 0.539473 0.451453 0.204037 0.911732 0.774336 0.571846 0.930379 0.891193 0.228170 0.091762
0.458267 0.310064 0.738449 0.043543 0.817616 0.032534 0.466518 0.904182 0.305127 0.239253 0.468260
0.113868 0.507875 0.524637 0.072051 0.007878 0.808787 0.637021 0.111504 0.923391 0.374969 0.114480
0.481638 0.268439 0.804247 0.961628 0.812454 0.806243 0.680959 0.995179 0.198535 0.419309 0.879472
0.495510 0.272824 0.169834 0.142600 0.479014 0.048789 0.316577 0.267100 0.025879 0.414031 0.919164
0.437984 0.949360 0.765699 0.532409 0.218893 0.834472 0.781000 0.859841 0.630712 0.806886 0.451416
0.454082 0.623510 0.491569 0.982383 0.251173 0.265630 0.936439 0.647453 0.572126 0.952126 0.864208
0.751671 0.036801 0.495562 0.068450 0.886421 0.111126 0.711645 0.917686 0.709568 0.127447 0.669165
0.533100 0.093731 0.653409 0.965335 0.816709 0.350718 0.835831 0.693834 0.533003 0.957298 0.151289
